Track Name,Artist,Album,Genre,Popularity
Shinzo wo Sasageyo !,Linked Horizon,Shingeki no Kiseki,"anime, otacore",64
Madhurashtakam,Agam Aggarwal,Madhurashtakam,"hare krishna, modern bhajan",43
Into the Unknown,"Idina Menzel, AURORA",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),"hollywood, movie tunes, show tunes",72
Kamli,"Pritam, Sunidhi Chauhan, Amitabh Bhattacharya",Dhoom:3,"filmi, indian instrumental, modern bollywood",56
Pillagali,Shreya Ghoshal,Athadu,"filmi, modern bollywood",46
"Blue Bird (From ""Naruto Shippuden"")",Akano,"Blue Bird (From ""Naruto Shippuden"")",otacore,56
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),"big room, dance pop, edm, pop, pop dance",84
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Varun Jain, Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Tere Vaaste (From ""Zara Hatke Zara Bachke"")","desi pop, modern bollywood",62
E.T.,Katy Perry,Teenage Dream: The Complete Confection,pop,68
Valhalla Calling,Miracle Of Sound,Valhalla Calling,"antiviral pop, irish metal, shanty",16
熱情のスペクトラム,Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,"anime, j-pop",62
In The Stars,Benson Boone,In The Stars,singer-songwriter pop,74
Nainowale Ne,Neeti Mohan,Padmaavat,"filmi, modern bollywood",59
SNAP - High and Fast,Rosa Linn,SNAP PACK,alt z,24
God Father - Title Song,"Thaman S, Chiranjeevi, Salman Khan","God Father - Title Song (From ""God Father"") - Telugu","new beat, tamil pop",31
Love Again,Dua Lipa,Future Nostalgia,"dance pop, pop, uk pop",71
Moral of the Story,Ashe,Ashlyn,alt z,74
Nyanpasu,Rainych,Nyanpasu,city pop,37
Jai Shri Ram (Telugu),"Ajay-Atul, Ramajogayya Sastry, Manoj Muntashir",Adipurush (TELUGU),filmi,36
Dandelions - slowed + reverb,"Ruth B., sped up + slowed, slater",Dandelions (slowed + reverb),"alt z, canadian contemporary r&b, canadian pop, pop",65
"Padi Padi Leche (From ""Padi Padi Leche Manasu"")","Armaan Malik, Sinduri Vishal","Padi Padi Leche (From ""Padi Padi Leche Manasu"")","filmi, modern bollywood",0
Teluse Nuvvu Ravani,Ankit Tiwari,Oka Laila Kosam,"filmi, modern bollywood",45
Master Coming,"Anirudh Ravichander, Gaana Balachandar",Master (Telugu) [Original Motion Picture Soundtrack],"desi hip hop, filmi, tamil hip hop",47
House of Memories,Panic! At The Disco,Death of a Bachelor,pop,76
Padipoya,"Haricharan, Suchitra",DK Bose,Unknown,37
色彩,yama,色彩,"j-pop, japanese teen pop",58
Dancin - Krono Remix,"Aaron Smith, Luvli, Krono",Ibiza 2019,chicago house,72
Scars To Your Beautiful,Alessia Cara,Know-It-All,"canadian contemporary r&b, canadian pop, pop",76
"Whenever, Wherever",Shakira,Laundry Service,"colombian pop, dance pop, latin pop, pop",74
Dhoom Dhaam,"Santhosh Narayanan, Rahul Sipligunj, Kasarla Shyam, Gotte Kanakavva, Gannora Dasa Laxmi, Palamuru Jangireddy, Narsanna (Nalgonda Gaddar)",Dasara (Telugu),"filmi, tamil pop",0
Andhamaina Seetakoka Chiluka,Soosaj Santhosh,Jaya Janaki Nayaka,Unknown,24
Infinity,Jaymes Young,Feel Something,indie poptimism,75
ブルーバード,Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,"anime, j-pop",66
Meri Jaan,Neeti Mohan,Vibe for My Love,"filmi, modern bollywood",25
Mass Raja,"Bheems Ceciroleo, Nakash Aziz","Mass Raja (From ""Dhamaka"")",tollywood,0
SNAP,Rosa Linn,SNAP,alt z,45
Wasted,Anirudh Ravichander,Vikram (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",50
Mukundha Mukundha,"Himesh Reshammiya, Sadhana Sargam, Kamal Haasan",Dhasavathaaram (Telugu) (Original Motion Picture Soundtrack),"filmi, modern bollywood",44
Another Love,Tom Odell,Long Way Down (Deluxe),chill pop,86
Oy..Oy..,"Siddharth, Prashanthini",Oye,tollywood,60
Let Me Down Slowly,Alec Benjamin,Narrated For You,"alt z, pop, pov: indie",84
People,Libianca,People,afrobeats,76
Dancing With Your Ghost,Sasha Alex Sloan,Dancing With Your Ghost,alt z,75
SugarCrash! 2 (Notice Me Senpai),Bemax,SugarCrash! 2 (Notice Me Senpai),Unknown,9
Dandelions,Ruth B.,Dandelions (slowed + reverb),"alt z, canadian contemporary r&b, canadian pop, pop",43
Swagatham Krishna,Niranjana Ramanan,Agnyaathavaasi,Unknown,43
Attu Nuvve,Neha Bhasin,Current,"filmi, modern bollywood",56
Milne Hai Mujhse Aayi,Arijit Singh,Aashiqui 2,"filmi, modern bollywood",65
Power,Little Mix,Glory Days (Expanded Edition),"girl group, pop, talent show, uk pop",69
Telisiney Na Nuvvey,L. V. Revanth,Arjun Reddy,"filmi, tollywood",55
Moon Gorgeous Meditation II,Marsy,Marsy,Unknown,5
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",Until I Found You (Em Beihold Version),gen z singer-songwriter,77
Na Roja Nuvve,Hesham Abdul Wahab,"Na Roja Nuvve (From ""Kushi"") (Telugu)",mollywood,58
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli, Arijit Singh, Neha Kakkar","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","desi pop, modern bollywood",68
Gulabi Kallu Rendu Mullu,Javed Ali,Govindudu Andarivaadele,"desi pop, filmi, modern bollywood",51
RISE,"League of Legends, Mako, The Word Alive, The Glitch Mob",RISE,"speedrun, video game music",69
Arcade,Duncan Laurence,Arcade,dutch pop,73
Legends Never Die,"League of Legends, Against The Current",Legends Never Die,"speedrun, video game music",74
Harleys In Hawaii,Katy Perry,Smile,pop,70
I Wanna Be Yours,Arctic Monkeys,AM,"garage rock, modern rock, permanent wave, rock, sheffield indie",90
In The Stars (Benson Boone) - Sped Up Version,Sped Up Songs + Nightcore,In The Stars (Benson Boone) [Sped Up Version],sped up,52
残響散歌,Aimer,残響散歌,"anime, anime rock, j-pixie, j-pop, j-poprock",65
MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,alt z,74
Veyira Cheyyi Veyira,Saloni,Panjaa,tollywood,57
Adharam Madhuram Vadanam Madhuram,Lopita Mishra,Madhurashtakam,jain bhajan,0
Po Pove Yekantham,Dhanunjay Seepana,Raghuvaran B Tech,tollywood,57
Nainowale Ne x People - Slowed + Reverb,"Ishu Music, Itz dhruv",Nainowale Ne x People (Slowed + Reverb),modern bhajan,0
Suzume,"RADWIMPS, Toaka",Suzume (Motion Picture Soundtrack),"j-pop, j-rock, visual kei",66
"Mastaaru Mastaaru (From ""Sir"")(Telugu)","G. V. Prakash, Shweta Mohan, Saraswati Putra Ramajogayya Sastry","Mastaaru Mastaaru (From ""Sir"")(Telugu)","kollywood, tamil pop",62
Mary On A Cross,Ghost,Seven Inches Of Satanic Panic,"hard rock, metal",45
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",The Heist,"pop rap, seattle hip hop",76
